Precalculus Algebra	22199	MS 112	001	3	8:45	9:45	MWF	Ayers Hall 220	Lecture	Robert L Cochran
Precalculus Algebra	22200	MS 112	002	3	10:00	11:00	MWF	Ayers Hall 220	Lecture	Edwin H Smith
Precalculus Algebra	22201	MS 112	003	3	11:15	12:15	MWF	Ayers Hall 220	Lecture	Clint Adam Stanley
Precalculus Algebra	22202	MS 112	004	3	12:30	13:30	MWF	Ayers Hall 220	Lecture	Jaedeok Kim
Precalculus Algebra	22203	MS 112	005	3	15:00	16:30	MW	Ayers Hall 220	Lecture	Vijaya L. Gompa
Precalculus Algebra	22204	MS 112	006	3	16:30	18:00	MW	Ayers Hall 220	Lecture	Elaine Michelle Page
Precalculus Algebra	22205	MS 112	007	3	9:15	10:45	TR	Ayers Hall 220	Lecture	Audria A White
Precalculus Algebra	22206	MS 112	008	3	11:00	12:30	TR	Ayers Hall 220	Lecture	Audria A White
Precalculus Algebra	22207	MS 112	009	3	12:45	14:15	TR	Ayers Hall 220	Lecture	Daniel E Smith
Precalculus Algebra	22208	MS 112	010	3	14:30	16:00	TR	Ayers Hall 220	Lecture	Clint Adam Stanley
Precalculus Algebra	22209	MS 112	011	3	16:30	18:00	TR	Ayers Hall 220	Lecture	TBA
Precalculus Algebra	21809	MS 112	012	3	World Wide Web	Amy Paige Franklin
Precalculus Algebra	22100	MS 112	014	3	World Wide Web	Heather Black McDivitt
Precalculus Trigonometry	22210	MS 113	001	3	12:30	13:30	MWF	Ayers Hall 118	Lecture	Daniel E Smith
Precalculus Trigonometry	22211	MS 113	002	3	11:00	12:30	TR	Ayers Hall 118	Lecture	David Wayne Dempsey
Precalculus Trigonometry	22212	MS 113	003	3	12:45	14:15	TR	Ayers Hall 214	Lecture	Youngmi Kim
Precalculus Trigonometry	22213	MS 113	004	3	18:15	19:45	MW	Ayers Hall 220	Lecture	Elaine Michelle Page
Calculus and Its Applications	22214	MS 120	001	3	11:15	12:15	MWF	Ayers Hall 118	Lecture	Daniel E Smith
Calculus I	22215	MS 125	001	4	8:15	9:45	MWF	Ayers Hall 253	Lecture	Janice Lynn Case
Calculus I	22216	MS 125	002	4	11:15	12:45	MWF	Ayers Hall 253	Lecture	Janice Lynn Case
Calculus I	22217	MS 125	003	4	16:30	18:00	MTR	Ayers Hall 253	Lecture	Edwin H Smith
Calculus II	22218	MS 126	001	4	8:15	9:45	MWF	Ayers Hall 107	Lecture	Jaedeok Kim
Calculus II	22219	MS 126	002	4	11:15	12:45	MTR	Ayers Hall 116	Lecture	Youngmi Kim
Mathematical Concepts I	22220	MS 133	001	3	9:15	10:45	TR	Ayers Hall 113	Lecture	Heather Black McDivitt
Mathematical Concepts I	22222	MS 133	002	3	9:15	10:45	MW	Ayers Hall 113	Lecture	Audria A White
Mathematical Concepts II	22223	MS 134	001	3	11:00	12:30	TR	Ayers Hall 113	Lecture	Robert L Cochran
Mathematical Concepts II	22225	MS 134	002	3	11:00	12:30	MW	Ayers Hall 113	Lecture	Audria A White
Mathematical Concepts III	22226	MS 135	001	3	12:45	14:15	MW	Ayers Hall 113	Lecture	Heather Black McDivitt
Basic Statistics	22227	MS 204	001	3	8:45	9:45	MWF	Ayers Hall 218	Lecture	Jason David Cleveland
Basic Statistics	22229	MS 204	002	3	10:00	11:00	MWF	Ayers Hall 218	Lecture	Robert L Cochran
Basic Statistics	22231	MS 204	003	3	11:15	12:15	MWF	Ayers Hall 218	Lecture	Jason David Cleveland
Basic Statistics	22232	MS 204	004	3	16:30	18:00	MW	Ayers Hall 218	Lecture	Jimmy Dean Roebuck
Basic Statistics	22233	MS 204	005	3	18:15	19:45	MW	Ayers Hall 218	Lecture	Jimmy Dean Roebuck
Basic Statistics	22245	MS 204	007	3	9:15	10:45	TR	Ayers Hall 218	Lecture	Robert L Cochran
Basic Statistics	21810	MS 204	009	3	World Wide Web	Amy Paige Franklin
Basic Statistics	22254	MS 204	010	3	11:30	12:30	TR	Ayers Hall 218	Lecture	Edwin H Smith
Basic Statistics	22256	MS 204	011	3	12:45	14:15	TR	Ayers Hall 218	Lecture	Clint Adam Stanley
Calculus III	22268	MS 227	001	4	11:15	12:45	MWF	Ayers Hall 107	Lecture	Jeffrey J Dodd
Introduction to Advanced Mathematics	22272	MS 300	001	3	8:15	9:45	MWF	Ayers Hall 216	Lecture	David Wayne Dempsey
Applied Probability and Statistics	22269	MS 302	001	3	12:45	14:15	TR	Ayers Hall 118	Lecture	Janice Lynn Case
Applied Probability and Statistics	22274	MS 302	002	3	13:45	14:45	MWF	Ayers Hall 114	Lecture	TBA
College Geometry	22275	MS 323	001	3	8:45	9:45	MWF	Ayers Hall 116	Lecture	Jeffrey J Dodd
Differential Equations	22277	MS 344	001	3	9:15	10:45	TR	Ayers Hall 107	Lecture	Youngmi Kim
Linear Algebra	22278	MS 352	001	3	10:00	11:00	MWF	Ayers Hall 116	Lecture	David Wayne Dempsey
Numerical Analysis	22280	MS 390	001	3	10:00	11:00	MWF	Ayers Hall 114	Lecture	TBA
Advanced Calculus I	22283	MS 415	001	3	11:15	12:15	MWF	Ayers Hall 216	Lecture	Thomas E Leathrum
Abstract Algebra I	22285	MS 441	001	3	13:45	14:45	MWF	Ayers Hall 107	Lecture	Edwin H Smith
Functions of a Complex Variable	22288	MS 451	001	3	14:30	16:00	TR	Ayers Hall 107	Lecture	Thomas E Leathrum
Partial Differential Equations	22291	MS 484	001	3	9:15	10:45	TR	Ayers Hall 216	Lecture	Jeffrey J Dodd
